FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
フランス,パリ,,jp-JP,jp-JP
イギリス,ロンドン,,jp-JP,jp-JP
イタリア,ローマ,,jp-JP,jp-JP
南アフリカ共和国,プレトリア,,jp-JP,jp-JP
タンザニア,ドドマ,,jp-JP,jp-JP
ミャンマー,ネーピードー,,jp-JP,jp-JP
ケニア,ナイロビ,,jp-JP,jp-JP
大韓民国,ソウル,,jp-JP,jp-JP
コロンビア,ボゴタ,,jp-JP,jp-JP
スペイン,マドリード,,jp-JP,jp-JP
アルゼンチン,ブエノスアイレス,,jp-JP,jp-JP
ウクライナ,キエフ（キーウ）,,jp-JP,jp-JP
ウガンダ,カンパラ,,jp-JP,jp-JP
アルジェリア,アルジェ,,jp-JP,jp-JP
スーダン,ハルツーム,,jp-JP,jp-JP
イラク,バグダッド,,jp-JP,jp-JP
アフガニスタン,カブール,,jp-JP,jp-JP
ポーランド,ワルシャワ,,jp-JP,jp-JP
カナダ,オタワ,,jp-JP,jp-JP
モロッコ,ラバト,,jp-JP,jp-JP
